b'Fabrilife Premium 7 Layer cotton face Mask - Black Color',b'Tk.270'
,
b'Pen Spray Bottle Without Liquid - 1 Pcs - White - 10 ml',b'Tk.30'
,
b'Dr. Rhazes Ultra Protect Gel (2 Hour Protection) - 100 ml',b'Tk.130'
,
b'LAFZ Germ Kill Hand Gel - 100 ml',b'Tk.100'
,
b'Dr. Rhazes 7 day Surface Disinfectant Shield-Spray',b'Tk.400'
,
b'Dr. Rhazes Germ Kill Spray Foam',b'Tk.250'
,
b'ZM LABS  Lemon Hand Sanitizer Gel - 85 ml',b'Tk.85'
,
b'ZM LABS Orange Hand Sanitizer Gel - 85 ml',b'Tk.85'
,
b'Individually Seal Packed 3-Layer China Surgical Mask - 1 Pcs',b'Tk.40'
,
b'Lifebuoy Hand Sanitizer - 100 ml',b'Tk.130'
,
b'Lifebuoy Handwash TOTAL (refill) - 480 ml',b'Tk.175'
,
b'Derma Plus Hand Sanitizer - 50 ml',b'Tk.90'
,
b'Derma Plus Handwash Lemon - 250 ml',b'Tk.130'
,
b'Lifebuoy Handwash CARE (refill) -170 ml',b'Tk.60'
,
b'Lifebuoy Handwash LEMON FRESH (refill) -170 ml',b'Tk.60'
,
b'Sepnil Extra Mild Handwash (refill) - Tea Oil -180 ml',b'Tk.55'
,
b'Sepnil Extra Mild Hand wash - Tea Oil - 200 ml',b'Tk.90'
,
b'Sepnil Extra Mild Handwash (refill) - Marigold - 180 ml',b'Tk.55'
,
b'Sepnil Extra Mild Handwash -Marigold - 200 ml',b'Tk.90'
,
b'Sepnil Hand Sanitizer - 5 Litre',"b'Tk.2,600'"
,
b'Surgical Hand Gloves White Color (50 Pairs -1 Box) - M Size',"b'Tk.1,200'"
,
b'Disposable Head Cover - 5 Pcs - Blue',b'Tk.50'
,
b'Face Shield - 01 Pcs',b'Tk.80'
,
b'Anti-fogging Goggles - Eye Protector - 01 Pcs',b'Tk.300'
,
"b'Matador Surgical Mask (3 ply with high quality filter, nose pin) - 2 Box (50 Pcs)'",b'Tk.450'
,
b'Dettol Anti Bacterial Wet Wipes - 10 Pcs',b'Tk.65'
,
b'Dettol Disinfectant Spray Sanitizer - Original Pine Fragrance - 225 ml',b'Tk.315'
,
b'Dettol Handwash Re-energize - 5 Liter',"b'Tk.1,350'"
,
b'Dettol Handwash Re-energize - 750 ml',b'Tk.250'
,
"b""Heart's Executive DIARY - 2021 (Choclate Color)""",b'Tk.480'
,
"b""Heart's Executive DIARY - 2021 (Black and Grey Color - Joint Design)""",b'Tk.400'
,
