b'HAVIT USB Exquisite Keyboard (KB378)',b'Tk. 375',b'Brand: Havit\nCategory: Keyboard'
,,
b'HAVIT USB Mini Keyboard (KB329)',b'Tk. 425',b'Brand: Havit\nCategory: Keyboard'
,,
b'A4Tech Bloody B180R Rgb Gaming Keyboard',"b'Tk. 2,850'",b'Brand: A4Tech\nCategory: Keyboard'
,,
b'A4Tech Bloody B130 Turbo Illuminating Gaming Keyboard',"b'Tk. 2,300'",b'Brand: A4Tech\nCategory: Keyboard'
,,
b'A4Tech Bloody B820R Light Strike Rgb Animation Gaming Keyboard',"b'Tk. 5,100'",b'Brand: A4Tech\nCategory: Keyboard'
,,
b'Delux Om-02U   M105Gx Wireless Bengali Multimedia Keyboard And Mouse',"b'Tk. 1,200'",b'Brand: Delux\nCategory: Keyboard'
,,
b'Delux Combo Wireless Multimedia Keyboard And Mouse Dlk-3100G M102G',"b'Tk. 1,500'",b'Brand: Delux\nCategory: Keyboard'
,,
b'Delux Dlk-A180U Multimedia Keyboard',b'Tk. 650',b'Brand: Delux\nCategory: Keyboard'
,,
b'Delux Om-02U Wired Usb Bengali Multimedia Keyboard',b'Tk. 600',b'Brand: Delux\nCategory: Keyboard'
,,
b'Delux Gaming Keyboard Dlk-T15U',"b'Tk. 2,300'",b'Brand: Delux\nCategory: Keyboard'
,,
b'Delux DLK-6010U Multimedia Keyboard',b'Tk. 550',b'Brand: Delux\nCategory: Keyboard'
,,
b'Wireless Combo 9020',"b'Tk. 3,000'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Wired Combo N1820',b'Tk. 860',b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Wireless Combo 8200P',"b'Tk. 2,500'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'A4 Tech Wireless combo (Mouse and  Keyboard) (3000N)',"b'Tk. 1,380'",b'Brand: A4Tech\nCategory: Keyboard'
,,
b'MI Mechanical keyboard',"b'Tk. 4,790'",b'Brand: Xiaomi\nCategory: Keyboard'
,,
b'Rapoo Bluetooth 3.0 Ultra-slim Keyboard Green (E6700)',"b'Tk. 3,900'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'HAVIT Wireless Keyboard And Mouse (KB525GCM)',"b'Tk. 1,200'",b'Brand: Havit\nCategory: Keyboard'
,,
b'HAVIT Gaming Wireless Keyboard And Mouse (KB585GCM)',"b'Tk. 1,300'",b'Brand: Havit\nCategory: Keyboard'
,,
b'HAVIT USB Multimedia Keyboard (KB327)',b'Tk. 450',b'Brand: Havit\nCategory: Keyboard'
,,
b'DELUX Standard Keyboard DLK-3100U',b'Tk. 620',b'Brand: Delux\nCategory: Keyboard'
,,
b'Logitech MK235  Combo Wireless Mouse and Keyboard',"b'Tk. 1,910'",b'Brand: Logitech\nCategory: Keyboard'
,,
b'DELUX DLK-6200U  USB STANDARD  KEYBOARD',b'Tk. 550',b'Brand: Delux\nCategory: Keyboard'
,,
b'DELUX DLK-8050P  PS/2 STANDARD KEYBOARD',b'Tk. 550',b'Brand: Delux\nCategory: Keyboard'
,,
b'DELUX DLK A150U USB STANDARD KEYBOARD',b'Tk. 550',b'Brand: Delux\nCategory: Keyboard'
,,
b'DELUX USB DLK-5015 MULTIMEDIA KEYBOARD',b'Tk. 650',b'Brand: Delux\nCategory: Keyboard'
,,
b'Delux USB DLK-8060 MULTIMEDIA KEYBOARD',b'Tk. 550',b'Brand: Delux\nCategory: Keyboard'
,,
b'A4 Tech Bloody Mechanical Keyboard B540',"b'Tk. 6,500'",b'Brand: A4Tech\nCategory: Keyboard'
,,
b'A4 Tech Bloody--Blazing Gaming Wired Desktop B1500',"b'Tk. 3,000'",b'Brand: A4Tech\nCategory: Keyboard'
,,
b'Wireless Combo 8000',"b'Tk. 1,440'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Wireless Combo 9060',"b'Tk. 3,500'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Wireless Combo X1800',"b'Tk. 1,500'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Wired keyboard N2500',b'Tk. 550',b'Brand: Rapoo\nCategory: Keyboard'
,,
b'A4 Tech Wireless Desktop Keyboard (7700N)',"b'Tk. 1,800'",b'Brand: A4Tech\nCategory: Keyboard'
,,
b'A4 Tech WIRELESS DESKTOP Keyboard',"b'Tk. 1,330'",b'Brand: A4Tech\nCategory: Keyboard'
,,
b'A4 Tech Wired Keyboard Mouse Set OP 620 KR 85 USB (KR8520D)',b'Tk. 750',b'Brand: A4Tech\nCategory: Keyboard'
,,
"b'A4 Tech WIRED COMFORTKEY KEYBOARD ,USB,BLACK (KR-85 USB)'",b'Tk. 600',b'Brand: A4Tech\nCategory: Keyboard'
,,
"b'A4 Tech Wired Comfortkey Keyboard PS2, BLACK (KR-85 Ps2)'",b'Tk. 570',b'Brand: A4Tech\nCategory: Keyboard'
,,
"b'A4 Tech Wired Comfortkey Keyboard USB, BLACK (KR-83 USB)'",b'Tk. 600',b'Brand: A4Tech\nCategory: Keyboard'
,,
"b'A4 Tech Wired Comfortkey Keyboard USB, Black (KRS-86 USB)'",b'Tk. 700',b'Brand: A4Tech\nCategory: Keyboard'
,,
"b'A4 Tech WIRED COMFORTKEY KEYBOARD ,PS2,BLACK (KRS-86 PS2)'",b'Tk. 650',b'Brand: A4Tech\nCategory: Keyboard'
,,
"b'A4 Tech Wired X Slim Keyboard USB, Black (KLS-5)'",b'Tk. 680',b'Brand: A4Tech\nCategory: Keyboard'
,,
b'TWINMOS X3 PREMIUM-16GB USB 3.0',b'Tk. 480',b'Brand: Twinmos\nCategory: Pen drive and Flash drive'
,,
b'ADATA UV 131 USB 3.2 PEN DRIVE 16GB GRAY COLOR',b'Tk. 675',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV 128 USB 3.2 BLACK YELLOW 32 GB',b'Tk. 775',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV 150 USB 3.2 BLACK 32GB',b'Tk. 775',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'TWINMOS X3 PREMIUM-32GB USB 3.0',b'Tk. 566',b'Brand: Twinmos\nCategory: Pen drive and Flash drive'
,,
b'TWINMOS X3 PREMIUM-8GB USB 3.0',b'Tk. 450',b'Brand: Twinmos\nCategory: Pen drive and Flash drive'
,,
b'TWINMOS 16GB USB 2.0 X2 PREMIUM',b'Tk. 470',b'Brand: Twinmos\nCategory: Pen drive and Flash drive'
,,
b'TWINMOS 32GB USB 2.0 X2 PREMIUM',b'Tk. 600',b'Brand: Twinmos\nCategory: Pen drive and Flash drive'
,,
b'Adata UV320 USB 3.2 Pendrive 128GB Black Color',"b'Tk. 1,900'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV320 USB 3.2 Pendrive 64GB Black Color',"b'Tk. 1,050'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV128 USB 3.2 Black Blue 128 GB',"b'Tk. 1,900'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV128 USB 3.2 Black Yellow 64 GB',"b'Tk. 1,050'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV128 USB 3.2 Black Blue 64 GB',"b'Tk. 1,050'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Twinmos X3 Premium Pen Drive 64GB USB 3.0',b'Tk. 900',b'Brand: Twinmos\nCategory: Pen drive and Flash drive'
,,
b'Teutons Metallic Creek Flash Drive USB 3.1 Gen-1 - 32 GB (Blue)',b'Tk. 625',b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Metallic Creek Flash Drive USB 3.1 Gen-1 - 32 GB (Black)',b'Tk. 625',b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Amber Gold Flash Drive USB 3.1 Gen 1 \xe2\x80\x93 64GB',"b'Tk. 1,550'",b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Flash Drive USB 3.1 Gen-1 - 64 GB (Gold)',"b'Tk. 1,450'",b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Flash Drive USB 3.1 Gen-1 - 32 GB (Gold)',b'Tk. 900',b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Medal Silver Flash Drive - 64GB',"b'Tk. 1,350'",b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Medal Silver Flash Drive - 32GB',b'Tk. 765',b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Metallic Knight Finder - 64GB (Silver)',"b'Tk. 1,200'",b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Metallic Knight Finder - 32GB (Silver)',b'Tk. 653',b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Metallic Knight Flash Drive USB 3.1 Gen-1 - 64 GB (Silver)',"b'Tk. 1,200'",b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Metallic Knight Flash Drive USB 3.1 Gen-1 - 32 GB (Silver)',b'Tk. 593',b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Metallic Knight Flash Drive USB 3.1 Gen-1 - 16 GB (Silver)',b'Tk. 550',b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Metallic Slender OTG Flash Drive USB 3.1 Gen 1 \xe2\x80\x93 64GB (Silver)',"b'Tk. 1,350'",b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Metallic Slender OTG Flash Drive USB 3.1 Gen 1 \xe2\x80\x93 32GB (Silver)',b'Tk. 800',b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Mettalic Knight Squared OTG Flash Drive USB 3.1 Gen 1 \xe2\x80\x93 128GB (Silver)',"b'Tk. 2,000'",b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Mettalic Knight Squared OTG Flash Drive USB 3.1 Gen 1 \xe2\x80\x93 64GB (Silver)',"b'Tk. 1,250'",b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Mettalic Knight Squared OTG Flash Drive USB 3.1 Gen 1 \xe2\x80\x93 32GB (Silver)',b'Tk. 750',b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Mettalic Knight Squared OTG Flash Drive USB 3.1 Gen 1 \xe2\x80\x93 16GB (Silver)',b'Tk. 650',b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Transcend JetFlash 820 USB 3.0 Gold Pen Drive',"b'Tk. 2,400'",b'Brand: Transcend\nCategory: Pen drive and Flash drive'
,,
b'Transcend  JetFlash 820 USB 3.0 Gold Pen Drive',"b'Tk. 1,250'",b'Brand: Transcend\nCategory: Pen drive and Flash drive'
,,
b'Transcend JetFlash 820 USB 3.0 Gold Pen Drive',b'Tk. 850',b'Brand: Transcend\nCategory: Pen drive and Flash drive'
,,
b'ADATA UV128 RED GREEN 32GB',b'Tk. 650',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata S102 Pro USB 3.2 16GB  Flash Drive',b'Tk. 500',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV 150 USB 3.2 BLACK 16GB',b'Tk. 550',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'PNY HOOK ATTACHE 64GB USB 3.0',b'Tk. 948',b'Brand: PNY\nCategory: Pen drive and Flash drive'
,,
b'PNY HOOK ATTACHE 32GB USB 3',b'Tk. 920',b'Brand: PNY\nCategory: Pen drive and Flash drive'
,,
b'ADATA UV 150 Black USB 3.2 128 GB',"b'Tk. 1,900'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata S102 Pro USB 3.2 Pendrive 16GB Blue Color',b'Tk. 575',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata S102 Pro USB 3.2 Pendrive 16GB Gray Color',b'Tk. 575',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV320 USB 3.2 Pendrive 128GB White Color',"b'Tk. 1,900'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV320 USB 3.2 Pendrive 64GB White Color',"b'Tk. 1,000'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV320 USB 3.2 Pendrive 32GB White Color',b'Tk. 775',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV320 USB 3.2 Pendrive 32GB Black Color',b'Tk. 775',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV320 USB 3.2 Pendrive 16GB Black Color',b'Tk. 500',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV320 USB 3.2 Pendrive 16GB White Color',b'Tk. 550',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV350 USB 3.2 Pendrive 64GB Grey',"b'Tk. 1,050'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV350 USB 3.2 Pendrive 32GB Grey',b'Tk. 750',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV131 USB 3.2 Pendrive 64GB Gray Color',"b'Tk. 2,250'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV131 USB 3.2 Pendrive 32GB Gray Color',b'Tk. 950',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV128 USB 3.2 Black Blue 16 GB',b'Tk. 550',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV150 USB 3.2 Black 64GB',"b'Tk. 1,050'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'PNY HOOK ATTACHE 128GB USB 3.0',"b'Tk. 1,725'",b'Brand: PNY\nCategory: Pen drive and Flash drive'
,,
b'Teutons Metallic Knight Finder - 16GB (Silver)',b'Tk. 550',b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Teutons Metallic Slender OTG Flash Drive USB 3.1 Gen 1 \xe2\x80\x93 128GB (Silver)',"b'Tk. 2,000'",b'Brand: Teutons\nCategory: Pen drive and Flash drive'
,,
b'Adata Uc 350 Otg 32Gb  Pendrive',"b'Tk. 1,480'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata Uc 360 Otg Pendrive 64 Gb',"b'Tk. 2,650'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata Ud 320 (Android Pendrive) 32 Gb',b'Tk. 900',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'ADATA UV128 RED GREEN 16GBWith',b'Tk. 500',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata S102 Pro 32 GB  USB 3.0Flash Drive',"b'Tk. 1,050'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata S107 Waterproof 32 GB USB 3.0 Flash Drive',"b'Tk. 1,050'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata S107 Waterproof 16 GB USB 3.0 Flash Drive',b'Tk. 800',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'ADATA UC 330 (ANDROID PENDRIVE) 32 GB',"b'Tk. 1,400'",b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'ADATA UC 330 (ANDROID PENDRIVE) 16 GB',b'Tk. 900',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata UV 128 USB 3.2 BLACK YELLOW 16 GB',b'Tk. 550',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'PNY HOOK ATTACHE 16GB USB 3.0',b'Tk. 650',b'Brand: PNY\nCategory: Pen drive and Flash drive'
,,
b'PNY MICRO M3 32GB USB 3.0',"b'Tk. 1,500'",b'Brand: PNY\nCategory: Pen drive and Flash drive'
,,
b'PNY MICRO M3 16GB USB 3.0',b'Tk. 499',b'Brand: PNY\nCategory: Pen drive and Flash drive'
,,
b'PNY S3 ATTACHE 16GB USB 3.0',b'Tk. 450',b'Brand: PNY\nCategory: Pen drive and Flash drive'
,,
b'TWINMOS 32GB OTG G1 USB 3.0',"b'Tk. 1,100'",b'Brand: Twinmos\nCategory: Pen drive and Flash drive'
,,
b'TWINMOS 16GB OTG G1 16GB USB 3.0',b'Tk. 780',b'Brand: Twinmos\nCategory: Pen drive and Flash drive'
,,
b'TWINMOS 8GB USB 2.0 X2 PREMIUM',b'Tk. 400',b'Brand: Twinmos\nCategory: Pen drive and Flash drive'
,,
b'Adata UD-320 Black 16GB (Android Pendrive)',b'Tk. 700',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata C906 Pen Drive WHITE USB 2.0',b'Tk. 400',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata C906 Pen Drive  BLACK USB 2.0',b'Tk. 400',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata C008 Pen Drive White Blue USB 2.0(8 GB)',b'Tk. 400',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'Adata C008 Pen Drive Black Red USB 2.0',b'Tk. 400',b'Brand: Adata\nCategory: Pen drive and Flash drive'
,,
b'X-Mini Click 2  Bluetooth Speaker (Red)',"b'Tk. 1,950'",b'Brand: X-Mini\nCategory: Speaker'
,,
b'HAVIT ME SERIES BLUETOOTH SPEAKER (SK578BT)',"b'Tk. 1,550'",b'Brand: Havit\nCategory: Speaker'
,,
b'A4 Tech LAPTOP SPEAKER (P-200)',"b'Tk. 1,200'",b'Brand: A4Tech\nCategory: Speaker'
,,
b'XTREME E129BU',"b'Tk. 1,850'",b'Brand: Xtreme\nCategory: Speaker'
,,
b'Golden Field Q200 Speaker',"b'Tk. 1,500'",b'Brand: Golden Field\nCategory: Speaker'
,,
b'XTREME E353BU',"b'Tk. 2,250'",b'Brand: Xtreme\nCategory: Speaker'
,,
b'XTREME E856BU',"b'Tk. 4,180'",b'Brand: Xtreme\nCategory: Speaker'
,,
b'XTREME E278BU',"b'Tk. 2,400'",b'Brand: Xtreme\nCategory: Speaker'
,,
b'Golden Field Speaker LA-121D (4:1)',"b'Tk. 3,100'",b'Brand: Golden Field\nCategory: Speaker'
,,
b'Golden Field Speaker LA-130P',"b'Tk. 2,650'",b'Brand: Golden Field\nCategory: Speaker'
,,
b'Golden Field LA-12XY Speaker',"b'Tk. 1,925'",b'Brand: Golden Field\nCategory: Speaker'
,,
b'Golden Field LA-11X Speaker',"b'Tk. 2,030'",b'Brand: Golden Field\nCategory: Speaker'
,,
b'Redner Couloir RS7923 - 3.1 Multimedia Speaker',"b'Tk. 9,100'",b'Brand: REDNER\nCategory: Speaker'
,,
b'Edifier S880DB Bluetooth Speaker',"b'Tk. 27,000'",b'Brand: Edifier\nCategory: Speaker'
,,
b'Teutons Olite Metallic Bluetooth Speaker 5W (Antique Bronze)',"b'Tk. 1,550'",b'Brand: Teutons\nCategory: Speaker'
,,
b'Redner Couloir RS2932 - 2.1 Multimedia Speaker',"b'Tk. 6,000'",b'Brand: REDNER\nCategory: Speaker'
,,
b'Edifier R1280DB Brown Bluetooth Bookshelf Speaker',"b'Tk. 10,200'",b'Brand: Edifier\nCategory: Speaker'
,,
b'Redner Couloir RF500 - 4.1 Multimedia Speaker',"b'Tk. 5,300'",b'Brand: REDNER\nCategory: Speaker'
,,
b'Edifier S3000PRO Bookshelf Speakers',"b'Tk. 58,000'",b'Brand: Edifier\nCategory: Speaker'
,,
b'Teutons Olite Metallic Bluetooth Speaker 5W (Deep Ash)',"b'Tk. 1,550'",b'Brand: Teutons\nCategory: Speaker'
,,
b'Teutons Olite Metallic Bluetooth Speaker 5W (Rose Gold)',"b'Tk. 1,550'",b'Brand: Teutons\nCategory: Speaker'
,,
b'Redner Couloir RE600 - 2.1 Multimedia Speaker',"b'Tk. 4,000'",b'Brand: REDNER\nCategory: Speaker'
,,
b'Edifier A3-8 Mobile Bluetooth Outdoor Portable Trolley Speaker',"b'Tk. 9,550'",b'Brand: Edifier\nCategory: Speaker'
,,
b'EDIFIER R2750DB Studio Series',"b'Tk. 21,800'",b'Brand: Edifier\nCategory: Speaker'
,,
b'Teutons Olite Metallic Bluetooth Speaker 5W (Black)',"b'Tk. 1,550'",b'Brand: Teutons\nCategory: Speaker'
,,
b'Edifier PW312 - 12',"b'Tk. 18,000'",b'Brand: Edifier\nCategory: Speaker'
,,
b'XTREME E620BU',"b'Tk. 6,390'",b'Brand: Xtreme\nCategory: Speaker'
,,
b'XTREME E832BU',"b'Tk. 3,270'",b'Brand: Xtreme\nCategory: Speaker'
,,
b'BT Speaker A200',"b'Tk. 3,500'",b'Brand: Rapoo\nCategory: Speaker'
,,
b'BT Speaker A200',"b'Tk. 3,500'",b'Brand: Rapoo\nCategory: Speaker'
,,
b'Teutons Simplicity Metallic Bluetooth Speaker 5W (Sliver)',"b'Tk. 1,200'",b'Brand: Teutons\nCategory: Speaker'
,,
b'Redner Couloir RE30 - 2.1 Multimedia Speaker',"b'Tk. 2,000'",b'Brand: REDNER\nCategory: Speaker'
,,
b'Edifier R501T III Versatile Speaker System',"b'Tk. 17,000'",b'Brand: Edifier\nCategory: Speaker'
,,
b'Edifier CineSound B3 Bluetooth TV Soundbar',"b'Tk. 14,700'",b'Brand: Edifier\nCategory: Speaker'
,,
b'Redner Couloir RE700 - 2.1 Multimedia Speaker',"b'Tk. 2,500'",b'Brand: REDNER\nCategory: Speaker'
,,
b'Edifier CineSound B7 Wireless TV Soundbar',"b'Tk. 29,000'",b'Brand: Edifier\nCategory: Speaker'
,,
b'Teutons Simplicity Metallic Bluetooth Speaker 5W (Gold)',"b'Tk. 1,200'",b'Brand: Teutons\nCategory: Speaker'
,,
b'Edifier MP380 - Multi-functional portable speaker with Bluetooth 5.0 | AUX | USB',"b'Tk. 6,000'",b'Brand: Edifier\nCategory: Speaker'
,,
b'Logitech Speaker UE Roll 2',"b'Tk. 7,400'",b'Brand: Logitech\nCategory: Speaker'
,,
b'Logitech X300 Wireless Mobile Speaker',"b'Tk. 5,600'",b'Brand: Logitech\nCategory: Speaker'
,,
b'Redner Couloir RS500 - 2.1 Multimedia Speaker',"b'Tk. 3,650'",b'Brand: REDNER\nCategory: Speaker'
,,
b'Edifier R1010BT Bookshelf Speakers',"b'Tk. 6,600'",b'Brand: Edifier\nCategory: Speaker'
,,
b'Teutons Olite Metallic Bluetooth Speaker 5W (Blue)',"b'Tk. 1,550'",b'Brand: Teutons\nCategory: Speaker'
,,
b'Teutons Olite Metallic Bluetooth Speaker 5W (Yellow)',"b'Tk. 1,550'",b'Brand: Teutons\nCategory: Speaker'
,,
b'Redner Couloir RF5400 - 4.1 Multimedia Speaker',"b'Tk. 4,600'",b'Brand: REDNER\nCategory: Speaker'
,,
b'Edifier S1000MKII Bookshelf Speakers',"b'Tk. 28,500'",b'Brand: Edifier\nCategory: Speaker'
,,
b'Logitech X50 Mobile Boombox  Bluetooth Wireless Speaker',"b'Tk. 2,220'",b'Brand: Logitech\nCategory: Speaker'
,,
b'REDNER RF6400 4.1 Multimedia Speaker',"b'Tk. 5,200'",b'Brand: REDNER\nCategory: Speaker'
,,
b'Huawei CM510 Mini Bluetooth Speaker (Emerald Green)',"b'Tk. 1,350'",b'Brand: Huawei\nCategory: Speaker'
,,
b'Huawei CM510 Mini   Bluetooth Speaker (Graphite Black)',"b'Tk. 1,350'",b'Brand: Huawei\nCategory: Speaker'
,,
b'Mi Compact Mini Bluetooth Speaker 2 Global Version - White',b'Tk. 790',b'Brand: Xiaomi\nCategory: Speaker'
,,
b'X-Mini  Infinity Bluetooth Speaker',"b'Tk. 26,900'",b'Brand: X-Mini\nCategory: Speaker'
,,
b'X-Mini Supa Bluetooth Speaker (Gold)',"b'Tk. 9,100'",b'Brand: X-Mini\nCategory: Speaker'
,,
b'X-Mini Supa Bluetooth Speaker (Gray)',"b'Tk. 9,100'",b'Brand: X-Mini\nCategory: Speaker'
,,
b'X-Mini Kai X3 Bluetooth Speaker (Gray)',"b'Tk. 4,900'",b'Brand: X-Mini\nCategory: Speaker'
,,
b'X-Mini Kai X2 Bluetooth Speaker (Gray)',"b'Tk. 3,900'",b'Brand: X-Mini\nCategory: Speaker'
,,
b'X-Mini Kai X1 Bluetooth Speaker (Gray)',"b'Tk. 2,950'",b'Brand: X-Mini\nCategory: Speaker'
,,
b'X-Mini Click 2  Bluetooth Speaker (Blue)',"b'Tk. 1,950'",b'Brand: X-Mini\nCategory: Speaker'
,,
b'X-Mini Click 2 Bluetooth Speaker (Gray)',"b'Tk. 1,950'",b'Brand: X-Mini\nCategory: Speaker'
,,
b'REMAX Fabric Ultra Thin Portable Bluetooth Speaker (RB-M9)',"b'Tk. 2,500'",b'Brand: Remax\nCategory: Speaker'
,,
b'REMAX Portable Bluetooth Speaker (RB-M8 Mini)',"b'Tk. 1,900'",b'Brand: Remax\nCategory: Speaker'
,,
b'Remax Portable Bluetooth Speaker (RB-M27)',"b'Tk. 1,450'",b'Brand: Remax\nCategory: Speaker'
,,
b'Remax Portable Fabric Bluetooth Speaker (RB-M15)',"b'Tk. 1,875'",b'Brand: Remax\nCategory: Speaker'
,,
b'Remax  Portable Bluetooth Speaker (RB-M13)',"b'Tk. 1,350'",b'Brand: Remax\nCategory: Speaker'
,,
b'Remax  Portable Bluetooth Speaker (RB-M30)',"b'Tk. 2,200'",b'Brand: Remax\nCategory: Speaker'
,,
b'REMAX Desktop Fabric Bluetooth Speaker (RB-M11)',"b'Tk. 1,750'",b'Brand: Remax\nCategory: Speaker'
,,
b'HAVIT ME SERIES BLUETOOTH SPEAKER (06 Watt) (M67)',"b'Tk. 1,600'",b'Brand: Havit\nCategory: Speaker'
,,
"b'Havit E5 TWS Waterproof Bluetooth Speaker with IP7X, TWS, 4000mAh Power Bank (E5)'","b'Tk. 5,500'",b'Brand: Havit\nCategory: Speaker'
,,
b'HAVIT BLUETOOTH SPEAKER with Digital Alarm Clock  (10 Watt) (M29)',"b'Tk. 2,500'",b'Brand: Havit\nCategory: Speaker'
,,
b'HAVIT BLUETOOTH SPEAKER (10 Watt) (M16)',"b'Tk. 2,800'",b'Brand: Havit\nCategory: Speaker'
,,
b'HAVIT BLUETOOTH SPEAKER (M13)',"b'Tk. 1,200'",b'Brand: Havit\nCategory: Speaker'
,,
b'HAVIT Wooden AC Power SPEAKER (SK490)',b'Tk. 800',b'Brand: Havit\nCategory: Speaker'
,,
b'HAVIT USB SPEAKER Blue/Red/Green (SK473)',b'Tk. 450',b'Brand: Havit\nCategory: Speaker'
,,
b'HAVIT USB SPEAKER Black/Blue/Red (SK486)',b'Tk. 383',b'Brand: Havit\nCategory: Speaker'
,,
b'HAVIT USB SPEAKER Black/Blue/White/Pink (SK467)',b'Tk. 400',b'Brand: Havit\nCategory: Speaker'
,,
b'HAVIT USB SPEAKER (SK586)',b'Tk. 900',b'Brand: Havit\nCategory: Speaker'
,,
b'HAVIT USB SPEAKER (SK585)',b'Tk. 750',b'Brand: Havit\nCategory: Speaker'
,,
b'HAVIT USB SPEAKER (SK589)',b'Tk. 900',b'Brand: Havit\nCategory: Speaker'
,,
b'HAVIT USB SPEAKER Red Blue (SK435)',b'Tk. 450',b'Brand: Havit\nCategory: Speaker'
,,
b'Microlab TMN8  Multimedia Speaker 2.1',"b'Tk. 3,600'",b'Brand: Microlab\nCategory: Speaker'
,,
b'Microlab TMN3 2.1 Multimedia Speaker',"b'Tk. 3,250'",b'Brand: Microlab\nCategory: Speaker'
,,
b'Microlab SOLO9C 2.0 Speaker',"b'Tk. 21,000'",b'Brand: Microlab\nCategory: Speaker'
,,
