b'Value-Top VT-185W Wireless Optical Mouse (Dark Red) - VT-185W',b'Tk. 525',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-185W Wireless Optical Mouse (Dark Gray) - VT-185W',b'Tk. 525',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-185W Wireless Optical Mouse (Dark Black) - VT-185W',b'Tk. 525',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-250W Wireless Optical Mouse with Battary (White) - VT-250W',b'Tk. 475',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-250W Wireless Optical Mouse with Battary (Gray) - VT-250W',b'Tk. 475',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-250W Wireless Optical Mouse with Battary (Black) - VT-250W',b'Tk. 475',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-95U USB Optical Mouse (Gray) - VT-95U',b'Tk. 290',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-100U USB Optical Mouse (Black) - VT-100U',b'Tk. 250',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Wirless Mouse (GF- M701W) - GF- M701W (Gray)',b'Tk. 550',b'Brand: Golden Field\nCategory: Mouse'
,,
b'Wirless Mouse - GF- M601W (Black Combine Gold)',b'Tk. 450',b'Brand: Golden Field\nCategory: Mouse'
,,
b'Optical USB Mouse - GF- M301 (Black)',b'Tk. 300',b'Brand: Golden Field\nCategory: Mouse'
,,
b'Optical USB Mouse - GF- M101 (Black)',b'Tk. 250',b'Brand: Golden Field\nCategory: Mouse'
,,
b'Rapoo Wireless Mouse - 3510 Plus (Grey)',"b'Tk. 1,450'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Wireless Mouse - 3510 Plus (Black)',"b'Tk. 1,450'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Multi-Mode Mouse - MT600 (Rose Gold)',"b'Tk. 1,750'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Multi-Mode  Mouse - MT600 (Black)',"b'Tk. 1,750'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Wired Optical Mouse (N100)',b'Tk. 350',b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Wireless mini Mouse (3360)',b'Tk. 925',b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo 2.4GHz Wireless Optical Mouse Power-saving Mouse (3600 Silent)',b'Tk. 975',b'Brand: Rapoo\nCategory: Mouse'
,,
b'RAPOO Wireless Optical Mouse (7200P)',b'Tk. 975',b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Wireless Optical mouse (3000P)',"b'Tk. 1,050'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Wireless Optical mouse (3100P)',"b'Tk. 1,000'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Wireless Mouse - 3510 PLUS (BLUE)',"b'Tk. 1,450'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Wireless Mouse (T8)',"b'Tk. 3,150'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Multi-mode wireless mouse (MT6610S)',"b'Tk. 1,650'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Silent Multi-mode Wireless Mouse (M300)',"b'Tk. 1,475'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Multi-mode wireless mouse (MT350)',"b'Tk. 1,975'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'HAVIT 6 Keys Lighting Gaming Opticle Mouse USB (MS801)',b'Tk. 600',b'Brand: Havit\nCategory: Mouse'
,,
b'Havit Gaming USB Mouse (MS749)',b'Tk. 575',b'Brand: Havit\nCategory: Mouse'
,,
b'Havit Programable Gaming USB Mouse (MS762)',"b'Tk. 1,450'",b'Brand: Havit\nCategory: Mouse'
,,
b'Havit Programable Gaming USB Mouse (MS798)',"b'Tk. 1,150'",b'Brand: Havit\nCategory: Mouse'
,,
b'Havit Gaming USB Mouse (MS796)',b'Tk. 700',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Opticle Mouse USB (MS689)',b'Tk. 250',b'Brand: Havit\nCategory: Mouse'
,,
b'Havit RGB Backlit Gaming Mouse (MS852)',b'Tk. 850',b'Brand: Havit\nCategory: Mouse'
,,
b'Havit USB Optical Lighting Mouse (MS839)',b'Tk. 375',b'Brand: Havit\nCategory: Mouse'
,,
b'Havit RGB Backlit Programming Gaming Mouse (MS300)',"b'Tk. 1,350'",b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Wireless Optical Mouse (MS998GT)',b'Tk. 500',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Wireless Optical Mouse (MS991GT)',b'Tk. 475',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Wireless Optical Mouse (MS987GT)',b'Tk. 500',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Wireless Optical Mouse (MS919GT)',b'Tk. 450',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Wireless Optical Mouse (MS958GT)',b'Tk. 450',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Wireless Optical Mouse (MS626GT)',b'Tk. 350',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Wireless Optical Mouse (MS622GT)',b'Tk. 600',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Wireless Optical Mouse (MS56GT)',b'Tk. 450',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Wireless Optical Mouse (MS981GT)',b'Tk. 360',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Wireless Optical Mouse (MS623GT)',b'Tk. 380',b'Brand: Havit\nCategory: Mouse'
,,
b'A4Tech Bloody Q80 Neon X\xe2\x80\x99Glide Gaming Mouse',"b'Tk. 1,300'",b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech Bloody Q5081S Neon X\xe2\x80\x99Glide Gaming Mouse With Mouse Pad',"b'Tk. 1,650'",b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech Bloody Q8181S Neon X\xe2\x80\x99Glide Gaming Mouse With Mouse Pad',"b'Tk. 1,650'",b'Brand: A4Tech\nCategory: Mouse'
,,
b'Delux M630 Rgb 6 Button Gaming Mouse',"b'Tk. 1,250'",b'Brand: Delux\nCategory: Mouse'
,,
b'Delux M366 Wireles Optical Mouse',b'Tk. 600',b'Brand: Delux\nCategory: Mouse'
,,
b'Delux M321Bu Wired Usb Optical Mouse',b'Tk. 298',b'Brand: Delux\nCategory: Mouse'
,,
b'Delux Optical Dlm-107Gx Wireles Mouse',b'Tk. 580',b'Brand: Delux\nCategory: Mouse'
,,
b'Delux Optical Usb Mouse Dlm-135Bu',b'Tk. 340',b'Brand: Delux\nCategory: Mouse'
,,
b'Delux M811Lu Laser Gaming Mouse',"b'Tk. 2,550'",b'Brand: Delux\nCategory: Mouse'
,,
b'Logitech M238 Spain Fan Collection World Cup Wireless Mouse',"b'Tk. 1,480'",b'Brand: Logitech\nCategory: Mouse'
,,
b'Logitech M238 Germany Fan Collection World Cup Wireless Mouse',"b'Tk. 1,480'",b'Brand: Logitech\nCategory: Mouse'
,,
b'Logitech M238 Brazil Fan Collection World Cup Wireless Mouse',"b'Tk. 1,480'",b'Brand: Logitech\nCategory: Mouse'
,,
b'Logitech M238 Argentina Fan Collection World Cup Wireless Mouse',"b'Tk. 1,480'",b'Brand: Logitech\nCategory: Mouse'
,,
b'Targus AMU099AP Cord-Storing Mouse',b'Tk. 750',b'Brand: Targus\nCategory: Mouse'
,,
b'Targus AMW06301-03 Wireless Blue Trace Mouse',"b'Tk. 1,050'",b'Brand: Targus\nCategory: Mouse'
,,
b'Targus wireless Mouse AMW57101AP-50',b'Tk. 800',b'Brand: Targus\nCategory: Mouse'
,,
b'Targus AMU09701AP-51 Armor Mini Trace Mouse',b'Tk. 425',b'Brand: Targus\nCategory: Mouse'
,,
b'Wired Mouse N1130',b'Tk. 400',b'Brand: Rapoo\nCategory: Mouse'
,,
b'Wireless Combo 9020',"b'Tk. 3,000'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Wireless Mouse 1090P',b'Tk. 800',b'Brand: Rapoo\nCategory: Mouse'
,,
b'Wireless Mouse 1090P',b'Tk. 800',b'Brand: Rapoo\nCategory: Mouse'
,,
b'Wireless Mouse M10 ( Black)',b'Tk. 600',b'Brand: Rapoo\nCategory: Mouse'
,,
b'Wireless Mouse 1620',b'Tk. 585',b'Brand: Rapoo\nCategory: Mouse'
,,
b'Wired Mouse N1162',b'Tk. 400',b'Brand: Rapoo\nCategory: Mouse'
,,
b'Wired Combo N1820',b'Tk. 860',b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Wireless Combo 8200P',"b'Tk. 2,500'",b'Brand: Rapoo\nCategory: Keyboard'
,,
"b'A4 Tech WIRED V-Track MOUSE USB BLACK, 1.5M CABLE (N-70FX)'",b'Tk. 575',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4 Tech Wireless combo (Mouse and  Keyboard) (3000N)',"b'Tk. 1,380'",b'Brand: A4Tech\nCategory: Keyboard'
,,
b'Rapoo Optical Mouse (N200)',b'Tk. 350',b'Brand: Rapoo\nCategory: Mouse'
,,
b'RAPOO Multi-mode Wireless Keyboard and Mouse (8200M)',"b'Tk. 2,250'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Wireless mouse and Metal Keyboard Set (9060M)',"b'Tk. 2,650'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo multi-mode mechanical keyboard White (MT700)',"b'Tk. 6,000'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Multi-mode wireless mouse Small and medium hand type (M100)',b'Tk. 950',b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Multi-mode wireless mouse (MT550)',"b'Tk. 2,150'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Multi-mode wireless mouse (MT750)',"b'Tk. 3,050'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'Rapoo Rechargeable Multi-mode Wireless Mouse (MT750S)',"b'Tk. 3,150'",b'Brand: Rapoo\nCategory: Mouse'
,,
b'HAVIT Gaming Mousepad (MP837)',b'Tk. 120',b'Brand: Havit\nCategory: Mouse'
,,
b'Havit Gaming USB Mouse (MS793)',b'Tk. 700',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Lighting USB Gaming Opticle Mouse (Black Color) (MS691)',b'Tk. 375',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Mini Optical Retractable USB Mouse (Mixed Color) (MS710)',b'Tk. 400',b'Brand: Havit\nCategory: Mouse'
,,
b'Havit Optical Gaming Mouse (All in one Fire Button) (MS1005)',b'Tk. 700',b'Brand: Havit\nCategory: Mouse'
,,
b'Havit RGB Optical Gaming Mouse (MS1003)',b'Tk. 375',b'Brand: Havit\nCategory: Mouse'
,,
b'Havit RGB Optical Gaming Mouse (MS792)',b'Tk. 450',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Wireless Optical Mouse (MS989GT)',b'Tk. 375',b'Brand: Havit\nCategory: Mouse'
,,
b'HAVIT Wireless Optical Mouse (MS980GT)',b'Tk. 400',b'Brand: Havit\nCategory: Mouse'
,,
b'A4Tech OP-560NU Wired Mouse',b'Tk. 300',b'Brand: A4Tech\nCategory: Mouse'
,,
b'Delux M625 Rgb 7 Button Gaming Mouse',"b'Tk. 1,280'",b'Brand: Delux\nCategory: Mouse'
,,
b'Delux Dlm-133Bu Usb Mouse',b'Tk. 450',b'Brand: Delux\nCategory: Mouse'
,,
b'LOGITECH G302 MOBA DAEDALUS PRIME GAMING MOUSE',"b'Tk. 2,640'",b'Brand: Logitech\nCategory: Mouse'
,,
b'DELUX OPTICAL USB MOUSE DLM-126BU',b'Tk. 310',b'Brand: Delux\nCategory: Mouse'
,,
b'Delux DLM-125BU  Optical USB Mouse',b'Tk. 380',b'Brand: Delux\nCategory: Mouse'
,,
b'Delux Optical Mouse- DLM-131BU',b'Tk. 295',b'Brand: Delux\nCategory: Mouse'
,,
b'Delux Optical Mouse-DLM-105BU',b'Tk. 300',b'Brand: Delux\nCategory: Mouse'
,,
