b'Lifebuoy Handwash TOTAL (refill) - 480 ml',b'Tk.175',b'\xe0\xa6\x87\xe0\xa6\x89\xe0\xa6\xa8\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xad\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\x82\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xa6\xe0\xa7\x87\xe0\xa6\xb6'
b'Derma Plus Hand Sanitizer - 50 ml',b'Tk.90',b'\xe0\xa6\x87\xe0\xa6\x89\xe0\xa6\xa8\xe0\xa6\xbf\xe0\xa6\x97\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa7\x8b \xe0\xa6\x95\xe0\xa6\xb8\xe0\xa6\xae\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa6\xb8 \xe0\xa6\x8f\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c'
b'Derma Plus Handwash Lemon - 250 ml',b'Tk.130',b'\xe0\xa6\x87\xe0\xa6\x89\xe0\xa6\xa8\xe0\xa6\xbf\xe0\xa6\x97\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa7\x8b \xe0\xa6\x95\xe0\xa6\xb8\xe0\xa6\xae\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa6\xb8 \xe0\xa6\x8f\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c'
b'Lifebuoy Handwash CARE (refill) -170 ml',b'Tk.60',b'\xe0\xa6\x87\xe0\xa6\x89\xe0\xa6\xa8\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xad\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\x82\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xa6\xe0\xa7\x87\xe0\xa6\xb6'
b'Lifebuoy Handwash LEMON FRESH (refill) -170 ml',b'Tk.60',b'\xe0\xa6\x87\xe0\xa6\x89\xe0\xa6\xa8\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xad\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\x82\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xa6\xe0\xa7\x87\xe0\xa6\xb6'
b'Sepnil Extra Mild Handwash (refill) - Tea Oil -180 ml',b'Tk.55',b'\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x95\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Sepnil Extra Mild Hand wash - Tea Oil - 200 ml',b'Tk.90',b'\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x95\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Sepnil Extra Mild Handwash (refill) - Marigold - 180 ml',b'Tk.55',b'\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x95\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Sepnil Extra Mild Handwash -Marigold - 200 ml',b'Tk.90',b'\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x95\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Sepnil Hand Sanitizer - 5 Litre',"b'Tk.2,600'",b'\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x95\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Surgical Hand Gloves White Color (50 Pairs -1 Box) - M Size',"b'Tk.1,200'",b'\xe0\xa6\xb9\xe0\xa7\x83\xe0\xa6\xa6 (\xe0\xa6\x9a\xe0\xa6\xbe\xe0\xa7\x9f\xe0\xa6\xa8\xe0\xa6\xbe \xe0\xa6\xb8\xe0\xa6\xbe\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0)'
b'Disposable Head Cover - 5 Pcs - Blue',b'Tk.50',b'\xe0\xa6\xb9\xe0\xa7\x83\xe0\xa6\xa6 (\xe0\xa6\x9a\xe0\xa6\xbe\xe0\xa7\x9f\xe0\xa6\xa8\xe0\xa6\xbe \xe0\xa6\xb8\xe0\xa6\xbe\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0)'
b'Face Shield - 01 Pcs',b'Tk.80',b'\xe0\xa6\xb9\xe0\xa7\x83\xe0\xa6\xa6 (\xe0\xa6\x9a\xe0\xa6\xbe\xe0\xa7\x9f\xe0\xa6\xa8\xe0\xa6\xbe \xe0\xa6\xb8\xe0\xa6\xbe\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0)'
b'Anti-fogging Goggles - Eye Protector - 01 Pcs',b'Tk.300',b'\xe0\xa6\xb9\xe0\xa7\x83\xe0\xa6\xa6 (\xe0\xa6\x9a\xe0\xa6\xbe\xe0\xa7\x9f\xe0\xa6\xa8\xe0\xa6\xbe \xe0\xa6\xb8\xe0\xa6\xbe\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0)'
"b'Matador Surgical Mask (3 ply with high quality filter, nose pin) - 2 Box (50 Pcs)'",b'Tk.450',b'Matador Group'
b'Dettol Anti Bacterial Wet Wipes - 10 Pcs',b'Tk.65',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xac\xe0\xa7\x87\xe0\xa6\xa8\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x97\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x81\xe0\xa6\xaa'
b'Dettol Disinfectant Spray Sanitizer - Original Pine Fragrance - 225 ml',b'Tk.315',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xac\xe0\xa7\x87\xe0\xa6\xa8\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x97\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x81\xe0\xa6\xaa'
b'Dettol Handwash Re-energize - 5 Liter',"b'Tk.1,350'",b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xac\xe0\xa7\x87\xe0\xa6\xa8\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x97\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x81\xe0\xa6\xaa'
b'Dettol Handwash Re-energize - 750 ml',b'Tk.250',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xac\xe0\xa7\x87\xe0\xa6\xa8\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x97\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x81\xe0\xa6\xaa'
"b""Heart's Executive DIARY - 2021 (Choclate Color)""",b'Tk.480',b'Hearts Bangladesh'
"b""Heart's Executive DIARY - 2021 (Black and Grey Color - Joint Design)""",b'Tk.400',b'Hearts Bangladesh'
"b""Heart's Executive DIARY - 2021 (Black Color - Joint Design)""",b'Tk.480',b'Hearts Bangladesh'
"b""Heart's Executive DIARY - 2021 (Black Color - Joint Design)""",b'Tk.400',b'Hearts Bangladesh'
"b""Heart's Executive DIARY - 2021 (Black Color - End Stitching Design)""",b'Tk.400',b'Hearts Bangladesh'
"b""Heart's Executive DIARY - 2021 (Black and Choclate Color)""",b'Tk.400',b'Hearts Bangladesh'
b'Derma Plus Handwash Levender - 250 ml',b'Tk.130',b'\xe0\xa6\x87\xe0\xa6\x89\xe0\xa6\xa8\xe0\xa6\xbf\xe0\xa6\x97\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa7\x8b \xe0\xa6\x95\xe0\xa6\xb8\xe0\xa6\xae\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa6\xb8 \xe0\xa6\x8f\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c'
b'Redleaf Legal Diary (Brown) - 2021 (For 1 Year)',b'Tk.500',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xa1\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xab \xe0\xa6\xaa\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xb6\xe0\xa6\xbf\xe0\xa6\x82'
b'Redleaf Legal Diary (Blue) - 2021 (For 1 Year)',b'Tk.500',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xa1\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xab \xe0\xa6\xaa\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xb6\xe0\xa6\xbf\xe0\xa6\x82'
b'Redleaf Legal Diary (Blue) - 2021 (For 1 Year) - Business Card Holder',b'Tk.500',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xa1\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xab \xe0\xa6\xaa\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xb6\xe0\xa6\xbf\xe0\xa6\x82'
b'Redleaf Legal Diary (Brown) - 2021 (For 1 Year) - Business Card Holder',b'Tk.500',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xa1\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xab \xe0\xa6\xaa\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xb6\xe0\xa6\xbf\xe0\xa6\x82'
b'Redleaf Legal Diary (Red) - 2021 (For 1 Year) - Business Card Holder',b'Tk.500',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xa1\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xab \xe0\xa6\xaa\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xb6\xe0\xa6\xbf\xe0\xa6\x82'
b'Redleaf Legal Diary (Red) - 2021 (For 1 Year)',b'Tk.500',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xa1\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xab \xe0\xa6\xaa\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xb6\xe0\xa6\xbf\xe0\xa6\x82'
"b""Heart's General DIARY - 2021 (Brown and Off White Color)""",b'Tk.150',b'Hearts Bangladesh'
"b""Heart's General DIARY - 2021 (Red and Off White Color)""",b'Tk.150',b'Hearts Bangladesh'
"b""Heart's General DIARY - 2021 (Red and Black Color)""",b'Tk.150',b'Hearts Bangladesh'
"b""Heart's General DIARY - 2021 (Green, Light Green Color)""",b'Tk.150',b'Hearts Bangladesh'
"b""Heart's General DIARY - 2021 (Blue Color)""",b'Tk.150',b'Hearts Bangladesh'
"b""Heart's General DIARY - 2021 (White And Maroon Color)""",b'Tk.150',b'Hearts Bangladesh'
"b""Heart's General DIARY - 2021 (Maroon And White Color)""",b'Tk.150',b'Hearts Bangladesh'
"b""Heart's General DIARY - 2021 (Black and Yellow Color)""",b'Tk.150',b'Hearts Bangladesh'
"b""Heart's General DIARY - 2021 (Maroon, Light Maroon Color)""",b'Tk.150',b'Hearts Bangladesh'
"b""Heart's General DIARY - 2021 (Purple, Yellow, Marron Color)""",b'Tk.150',b'Hearts Bangladesh'
"b""Heart's General DIARY - 2021 (Purple Color and Flower Design)""",b'Tk.150',b'Hearts Bangladesh'
b'Hearts General Diary-2021(Yellow and Maroon Color Design)',b'Tk.150',b'Hearts Bangladesh'
b'China Steel Pencil \xe2\x80\x8dand Pen Box - 1 Pcs - Cocacola Design',b'Tk.108',b'\xe0\xa6\xb9\xe0\xa7\x83\xe0\xa6\xa6 (\xe0\xa6\x9a\xe0\xa6\xbe\xe0\xa7\x9f\xe0\xa6\xa8\xe0\xa6\xbe \xe0\xa6\xb8\xe0\xa6\xbe\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0)'
b'Matador Officemate Cutter Knife Small - 01 Pcs (Any Color) - S-43 (Anti Cutter)',b'Tk.50',b'Matador Group'
"b'Al Haramain Urbanist Femme Products Gift Pack For Women - Body Spray, Body Lotion, Perfume, Towel.'","b'Tk.3,400'",b'Al Haramain'
b'Fresh Legal Paper - 80 GSM (500 Page) - 1 Pack',b'Tk.356',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Couple Combo Package 1- Kayani Dastoor and Faith With free Sahar Ragba 45g For Men and Women - Lafz Body Spray - Buy 2 Get 1 Free',b'Tk.560',b'\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xab\xe0\xa6\x9c'
b'Kool Shaving Foam-400 ml',b'Tk.240',b'\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x95\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Kool Shaving Cream (Monsoon)-100 gm',b'Tk.85',b'\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x95\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Kool Deodorant Body Spray (Ignite)-150 ml',b'Tk.220',b'\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x95\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Kool After Shave Lotion-50 ml',b'Tk.115',b'\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x95\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Supermom Baby Diaper-Large Size(9-14kg)-3 Pcs',b'Tk.115',b'\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x95\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Supermom Baby Diaper-Small Size(0-8kg)-28 Pcs (New Born)',b'Tk.675',b'\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x95\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Valentine For You Eau De Parfume - 100ml',"b'Tk.1,080'",b'Mahabub Perfumes'
b'Wedding Gift Voucher',b'Tk. 500 - 10000',b'Rokomari product'
b'Anniversary Day Gift Voucher',b'Tk. 500 - 10000',b'Rokomari product'
b'Titi Artist water color Brush (1-12)',b'Tk.400',b'\xe0\xa6\xb9\xe0\xa7\x83\xe0\xa6\xa6 (\xe0\xa6\x9a\xe0\xa6\xbe\xe0\xa7\x9f\xe0\xa6\xa8\xe0\xa6\xbe \xe0\xa6\xb8\xe0\xa6\xbe\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0)'
b'Al-Nuaim MIDNIGHT OUDH Attar - 20 ml (Roll On)',b'Tk.360',b'Al-Nuaim'
b'Atlas Junior Glue Pen Liquid -40gm (1 Pcs)',b'Tk.27',b'\xe0\xa6\x8f\xe0\xa6\x9f\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xb8 \xe0\xa6\x8f\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xb8\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xaf\xe0\xa6\xbc\xe0\xa6\xbe \xe0\xa6\x95\xe0\xa7\x8b.\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87.\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Atlas Junior Trangulr Glue sticks - 8gm - 1 Pcs',b'Tk.28',b'\xe0\xa6\x8f\xe0\xa6\x9f\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xb8 \xe0\xa6\x8f\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xb8\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xaf\xe0\xa6\xbc\xe0\xa6\xbe \xe0\xa6\x95\xe0\xa7\x8b.\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87.\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Atlas Junior Tri Half colour pencil - 12 colour',b'Tk.76',b'\xe0\xa6\x8f\xe0\xa6\x9f\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xb8 \xe0\xa6\x8f\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xb8\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xaf\xe0\xa6\xbc\xe0\xa6\xbe \xe0\xa6\x95\xe0\xa7\x8b.\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87.\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Atlas Junior Gel Pastel - 12 colour',b'Tk.237',b'\xe0\xa6\x8f\xe0\xa6\x9f\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xb8 \xe0\xa6\x8f\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xb8\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xaf\xe0\xa6\xbc\xe0\xa6\xbe \xe0\xa6\x95\xe0\xa7\x8b.\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87.\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Matador Officemate Gems Clip - 100 Pcs',b'Tk.35',b'Matador Group'
b'Matador File Holder - 1 Pcs (Any Color)',b'Tk.100',b'Matador Group'
b'Matador Liner Bag - 1 Pcs (Any Color)',b'Tk.45',b'Matador Group'
b'Matador Markpro Permanent Marker 5000 -Black Ink - 1 Pcs',b'Tk.35',b'Matador Group'
b'Matador i-teen RIO Pencil -2B',b'Tk.108',b'Matador Group'
b'Matador i-teen Pencil -2B  (12 Pcs)',b'Tk.108',b'Matador Group'
b'Matador\xc2\xa0Signature\xc2\xa0Gel\xc2\xa0Pen - 1 Pcs (A perfect Gift pen)',b'Tk.30',b'Matador Group'
b'Matador i-teen Ball Pen -Black Ink (6 Pcs)',b'Tk.60',b'Matador Group'
b'Matador Hi-School Colors Ball Pen - 5 Color (5 Pcs)',b'Tk.30',b'Matador Group'
b'Matador Hi-School Ball Pen -Black Ink (12 Pcs)',b'Tk.60',b'Matador Group'
b'Matador I-teen Grip Ball Pen -Black Ink (6 Pcs)',b'Tk.60',b'Matador Group'
b'Matador Woodmark Ball Pen -Black Ink (6 Pcs)',b'Tk.60',b'Matador Group'
b'Matador Trio Ballpen -Black Ink (12 Pcs)',b'Tk.60',b'Matador Group'
b'Matador i-teen Rio Ball Pen -Black Ink (6 Pcs)',b'Tk.60',b'Matador Group'
b'Matador Glory Crystal Ball Pen - Black Ink (5 Pcs)',b'Tk.30',b'Matador Group'
b'Matador i-teen AROMA Ball Pen -Black Ink (6 Pcs)',b'Tk.45',b'Matador Group'
b'Matador All-time Ball Pen -Black Ink (6 Pcs)',b'Tk.36',b'Matador Group'
b'MBBS - Spiral Notebook Brown Cover (120 Pages) (RV_0080)',b'Tk.45',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xad\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa6\xbf \xe0\xa6\xaa\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xb8'
b'Faber Castell Textliner - Yellow Color - 10 Pcs',b'Tk.315',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Fevikwik One Drop Adhesive',b'Tk.7',b'\xe0\xa6\xaa\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\xaa\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa6\xbf \xe0\xa6\x95\xe0\xa7\x87\xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xb8 (\xe0\xa6\xac\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf) \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xad\xe0\xa7\x87\xe0\xa6\x9f \xe0\xa6\xb2\xe0\xa6\xbf:'
b'Fevicol Super Glue Vertical Pack 3 gm',b'Tk.20',b'\xe0\xa6\xaa\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\xaa\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa6\xbf \xe0\xa6\x95\xe0\xa7\x87\xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xb8 (\xe0\xa6\xac\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf) \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xad\xe0\xa7\x87\xe0\xa6\x9f \xe0\xa6\xb2\xe0\xa6\xbf:'
